id,code,name,keywords
TCMS000179,B02.02.05.08.06.03.01,风热痰毒犯头证,
TCMS000180,B02.02.06.,风湿证,
TCMS000181,B02.02.06.01,风湿外袭证,
TCMS000182,B02.02.06.01.01,风湿表证,风湿袭表证；风湿犯表证；风湿滞表证；卫分风湿证；卫表风湿证
TCMS000183,B02.02.06.01.02,风湿蕴肤证,肌肤风湿证
TCMS000184,B02.02.06.01.03,风湿蕴结证,
TCMS000185,B02.02.06.01.04,风湿痹阻证,
TCMS000186,B02.02.06.01.05,风湿入络证,
TCMS000187,B02.02.06.02,风湿上犯证,
TCMS000188,B02.02.06.02.01,风湿犯头证,风湿头痛证
TCMS000189,B02.02.06.02.02,风湿凌目证,
TCMS000190,B02.02.06.02.02.01,风湿热邪攻目证,
TCMS000191,B02.02.06.02.02.02,风湿化火伤目证,
TCMS000192,B02.02.06.03.,风湿兼夹证,
TCMS000193,B02.02.06.03.01,风湿热证,风湿挟热证
TCMS000194,B02.02.06.03.01.01,风湿化热证,风湿郁热证
TCMS000195,B02.02.06.03.01.02,风湿热痹证,风湿热郁证；风湿热盛证
TCMS000196,B02.02.06.03.01.03,风湿化火证,
TCMS000197,B02.02.06.03.02,风湿挟毒证,
TCMS000198,B02.02.06.03.02.01,风湿毒聚证,风湿毒蕴证
TCMS000199,B02.02.06.03.02.02,风湿热毒证,
TCMS000200,B02.02.07.,风水证,风袭水停证
TCMS000201,B02.02.07.01,风水相搏证,风水犯肺证
TCMS000202,B02.02.07.02,风水泛滥证,风袭水泛证
TCMS000203,B02.02.08.,风燥证,
TCMS000204,B02.02.08.01,风燥犯表证,风燥袭表证；风燥伤表证
TCMS000205,B02.02.08.02,风燥伤肤证,
TCMS000206,B02.02.08.03,风燥伤肺证,风燥犯肺证
TCMS000207,B02.02.09.,风痰证,风痰偏盛证
TCMS000208,B02.02.09.01,风痰恋肺证,
TCMS000209,B02.02.09.02,风痰上攻证,风痰上扰证；风动痰阻，浊邪上犯证
TCMS000210,B02.02.09.02.01,风痰火亢证,
TCMS000211,B02.02.09.02.02,风痰闭神证,风痰闭窍证；风痰闭阻证
TCMS000212,B02.02.09.03,风痰入络证,
TCMS000213,B02.02.09.03.01,风痰阻络证,风动痰阻证
TCMS000214,B02.02.09.03.02,风痰瘀痹脉络证,风痰瘀痹阻脉络证；风痰瘀血证；风痰瘀血，痹阻脉络证
TCMS000215,B02.02.10.,风阳证,
TCMS000216,B02.02.10.01,风阳内动证,风阳内扰证
TCMS000217,B02.02.10.02,风阳暴亢证,风阳上僭证
TCMS000218,B02.02.10.03,风阳上越证,风阳上扰证
TCMS000219,B02.02.10.04,风阳痰火证,
TCMS000220,B02.02.11.,风火证,
TCMS000221,B02.02.11.01,风火上犯证,风火上扰证；风火上炎证；风火上攻证；风火上扰清窍证
TCMS000222,B02.02.11.01.01,风火犯目证,
TCMS000223,B02.02.11.01.01.01,风火攻目证,
TCMS000224,B02.02.11.02,风火热毒证,风火毒证；风火热毒炽盛证
TCMS000225,B02.02.11.03,风火内动证,
TCMS000226,B02.02.11.04,风火蔽窍证,
TCMS000227,B02.02.12,风瘀证,
TCMS000228,B02.03.,寒证类,寒邪偏盛证
TCMS000229,B02.03.01.,寒邪证,
TCMS000230,B02.03.01.01,寒邪外感证,外寒证
TCMS000231,B02.03.01.01.01,寒邪犯表证,表实寒证；寒邪束表证
TCMS000232,B02.03.01.01.02,寒邪犯肺证,寒邪束肺证
TCMS000233,B02.03.01.01.03,寒凝肌肤证,肌肤寒凝血涩证；寒凝血涩肌肤证
TCMS000234,B02.03.01.01.04,寒盛痹痛证,寒痛证；寒胜痛痹证
TCMS000235,B02.03.01.02,寒邪直中证,中寒证
TCMS000236,B02.03.01.02.01,寒邪犯胃证,寒邪客胃证；胃中寒冷证
TCMS000237,B02.03.01.02.02,寒滞胃脘证,
TCMS000238,B02.03.01.02.03,寒滞胃肠证,寒滞肠胃证
TCMS000239,B02.03.01.02.04,脐腹中寒证,腹部中寒证
TCMS000240,B02.03.01.02.05,寒滞肠道证,
TCMS000241,B02.03.01.02.06,寒滞肝脉证,寒滞肝经证
TCMS000242,B02.03.01.02.07,寒滞胞宫证,寒滞胞中证；胞宫寒滞证
TCMS000243,B02.03.01.03,寒邪凝滞证,寒凝证；寒实证；寒邪内阻证；寒邪阻遏证；
TCMS000244,B02.03.01.03.01,寒实结胸证,寒结胸膈证
TCMS000245,B02.03.01.03.02,寒凝气滞证,寒凝气聚证
TCMS000246,B02.03.01.03.03,寒凝经络证,寒凝经脉证
