id,code,name,keywords
TCM000972,A10.01.07,初生儿喘促,
TCM000973,A10.01.08,鹅口疮,雪口
TCM000974,A10.01.09,胎怯,
TCM000975,A10.01.10,五硬,
TCM000976,A10.01.11,胎黄,
TCM000977,A10.01.12,脐风,
TCM000978,A10.01.13,脐湿,
TCM000979,A10.01.14,初生儿脐疮,
TCM000980,A10.01.15,脐血,
TCM000981,A10.01.16,脐突,脐疝
TCM000983,A10.02.01,小儿感冒,
TCM000984,A10.02.02,小儿疰夏,
TCM000985,A10.02.03,小儿夏季热,
TCM000987,A10.03.01,奶麻,假麻
TCM000988,A10.03.02,小儿软脚瘟,疫痿
TCM000989,A10.03.03,小儿疫毒痢,
TCM000990,A10.03.04,小儿白喉,
TCM000991,A10.03.05,小儿天花,小儿痘疹|百岁疮
TCM000992,A10.03.06,手足口病,
TCM000994,A10.04.01,小儿咳嗽,
TCM000995,A10.04.01.01,百晬嗽,乳嗽|胎嗽|百晬咳|百晬内嗽
TCM000996,A10.04.02,肺风痰喘,肺炎喘嗽
TCM000997,A10.04.03,小儿哮喘,齁喘
TCM000999,A10.04.04.01,急惊风,
TCM001000,A10.04.04.02,慢惊风,
TCM001001,A10.04.04.03,慢脾风,
TCM001002,A10.04.05,小儿痫病,
TCM001003,A10.04.06,小儿抽动症,
TCM001004,A10.04.07,小儿多动症,
TCM001005,A10.04.08,客忤,小儿客忤
TCM001006,A10.04.09,夜啼,
TCM001007,A10.04.10,小儿自闭症,
TCM001008,A10.04.11,小儿痴呆,
TCM001009,A10.04.12,滞颐,小儿多涎
TCM001010,A10.04.13,疳病,疳证
TCM001011,A10.04.13.01,疳气,
TCM001012,A10.04.13.02,疳积,
TCM001013,A10.04.13.03,疳肿胀,疳胀|丁奚
TCM001014,A10.04.13.04,干疳,
TCM001015,A10.04.14,积滞,
TCM001016,A10.04.14.01,乳积,
TCM001017,A10.04.14.02,食积,
TCM001018,A10.04.15,小儿厌食,
TCM001019,A10.04.16,小儿异食,异食癖
TCM001020,A10.04.17,小儿呕吐,
TCM001021,A10.04.18,小儿泄泻,
TCM001022,A10.04.19,小儿腹痛,盘肠气痛
TCM001023,A10.04.20,小儿痿病,
TCM001024,A10.04.21,小儿脱肛,
TCM001025,A10.04.22,小儿尿频,
TCM001026,A10.04.23,小儿遗尿,
TCM001027,A10.04.24,小儿水肿病,
TCM001028,A10.04.25,小儿性早熟,
TCM001029,A10.04.26,小儿汗病,
TCM001030,A10.04.27,小儿紫癜,
TCM001031,A10.04.28,小儿口疮,
TCM001032,A10.04.28.01,燕口疮,口吻疮
TCM001033,A10.04.29,小儿乳蛾,
TCM001034,A10.04.29.01,小儿急乳蛾,
TCM001035,A10.04.29.02,小儿慢乳蛾,
TCM001036,A10.04.30,小儿湮尻疮,臀红
TCM001037,A10.04.31,小儿赤游丹,赤游丹
TCM001038,A10.04.32,奶癣,胎癣|胎疮
TCM001039,A10.04.33,佝偻病,
TCM001040,A10.04.34,小儿鸡胸,
TCM001041,A10.04.35,小儿龟背,
TCM001042,A10.04.36,解颅,囟解
TCM001043,A10.04.37,五迟,
TCM001044,A10.04.38,五软,
TCM001045,A10.04.39,呆小病,
TCM001046,A10.04.40,小儿肥胖,
TCM001047,A10.04.41,唐氏综合症,
TCM001051,A11.01.01.01,针眼,土疳|偷针眼
TCM001052,A11.01.01.02,眼丹,
TCM001053,A11.01.01.03,胞生痰核,胞睑痰核
TCM001054,A11.01.01.04,椒疮,沙眼
TCM001055,A11.01.01.05,粟疮,
TCM001056,A11.01.01.06,睑弦赤烂,风弦赤烂
TCM001057,A11.01.01.06.01,迎风赤烂,
TCM001058,A11.01.01.06.02,眦帷赤烂,
TCM001059,A11.01.01.06.03,胎风赤烂,
TCM001060,A11.01.01.07,风赤疮痍,风赤疮疾
TCM001061,A11.01.01.08,胞肿如桃,
TCM001062,A11.01.01.09,胞虚如球,睥虚如球
TCM001063,A11.01.01.10,上胞下垂,上睑下垂|睢目|睑废|睑皮垂缓|目睑垂缓
TCM001064,A11.01.01.11,胞轮振跳,眼胞振跳|目瞤
TCM001065,A11.01.01.12,目劄,目连劄
TCM001066,A11.01.01.13,粟子疾,睑内结石
TCM001067,A11.01.01.14,鸡冠蚬肉,
TCM001068,A11.01.01.15,倒睫拳毛,拳毛倒睫|拳毛倒入
TCM001069,A11.01.01.16,胞睑外翻,风牵出睑
TCM001070,A11.01.01.17,睥翻粘睑,皮翻粘睑
