id,code,name,keywords
TCMT000949,C02.22.05.02.,补益开音,
TCMT000950,C02.22.05.02.01,益气开音,
TCMT000951,C02.22.05.02.02,滋阴开音,
TCMT000952,C02.22.05.02.03,润燥开音,
TCMT000953,C02.22.06.,固齿,
TCMT000954,C02.22.06.01.,祛邪固齿,
TCMT000955,C02.22.06.01.01,疏风固齿,
TCMT000956,C02.22.06.01.02,祛湿利齿,化浊利齿；祛痰利齿
TCMT000957,C02.22.06.01.03,降火固齿,清热固齿
TCMT000958,C02.22.06.01.04,解毒固齿,解毒健齿
TCMT000959,C02.22.06.01.04.01,解毒利龈,
TCMT000960,C02.22.06.01.05,逐瘀消龈肿,
TCMT000961,C02.22.06.02.,补益固齿,
TCMT000962,C02.22.06.02.01,益气固齿,
TCMT000963,C02.22.06.02.02,补血养龈,补血健齿
TCMT000964,C02.22.06.02.03,滋阴养龈,滋阴润齿
TCMT000965,C02.22.06.02.04,温阳健齿,
TCMT000966,C02.22.06.02.05,补肾固齿,
TCMT000967,C02.23.,其他治法,
TCMT000968,C02.23.01,壮水制阳,滋阴抑阳
TCMT000969,C02.23.02,益火消阴,壮阳消阴
TCMT000970,C02.23.03,引火归原,引火归元；导龙入海
TCMT000971,C02.23.04,宣通三焦,
TCMT000972,C02.23.05,交通心肾,
TCMT000973,C02.23.06,清利头目,
TCMT000974,C02.23.07,滑利窍道,
TCMT000975,C02.23.08,宽胸利膈,
TCMT000976,C02.23.09,续筋接骨,
TCMT000977,C02.23.10,强筋壮骨,
TCMT000978,C02.23.11,酸甘化阴,
TCMT000979,C02.23.12,辛甘化阳,
TCMT000980,C02.23.13,佐金平木,
TCMT000981,C02.23.14,益火生土,
TCMT000982,C02.23.15,金水相生,
TCMT000983,C02.23.16,培土制水,
TCMT000984,C02.23.17,泻南补北,
TCMT000985,C02.23.18,畜鱼置介,
TCMT000986,C02.23.19,提壶揭盖,
TCMT000987,C02.23.20,逆流挽舟,急流挽舟
TCMT000988,C02.23.21,开鬼门，洁净府,
TCMT000989,C02.23.22,解毒安胎,
TCMT000990,C02.23.23,以毒攻毒,
TCMT000991,C03.,疗法类术语,
TCMT000992,C03.01.,针灸疗法,
TCMT000993,C03.01.01,体针疗法,毫针疗法
TCMT000994,C03.01.02,头针疗法,
TCMT000995,C03.01.03,面针疗法,
TCMT000996,C03.01.04,眼针疗法,
TCMT000997,C03.01.05,鼻针疗法,
TCMT000998,C03.01.06,耳针疗法,
TCMT000999,C03.01.06.01,耳压疗法,
TCMT001000,C03.01.07,舌针疗法,
TCMT001001,C03.01.08,脊背针疗法,
TCMT001002,C03.01.09,手针疗法,
TCMT001003,C03.01.10,足针疗法,
